排名,片名,评分,评价人数,导演,主演,简介,年份,类型,片长,IMDb,链接
34,乱世佳人,9.3,796114,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,费...,Tomorrow is another day.,1939,剧情/爱情/历史/战争,233分钟,tt0031381,https://movie.douban.com/subject/1300267/
35,飞屋环游记,9.1,1501719,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,爱德...,最后那些最无聊的事情，才是最值得怀念的。,2009,剧情/喜剧/动画/冒险,96分钟,tt1049413,https://movie.douban.com/subject/2129039/
36,让子弹飞,9.0,1921355,姜文 Wen Jiang,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,你给我翻译翻译，神马叫做TMD的惊喜。,2010,剧情/喜剧/动作/西部,132分钟,tt1533117,https://movie.douban.com/subject/3742360/
37,哈尔的移动城堡,9.1,1292270,宫崎骏 Hayao Miyazaki,倍赏千惠子 Chieko Baishô / 木村拓...,带着心爱的人在天空飞翔。,2024,爱情/动画/奇幻/冒险,119分钟,tt0347149,https://movie.douban.com/subject/1308807/
38,十二怒汉,9.4,579556,西德尼·吕美特 Sidney Lumet,亨利·方达 Henry Fonda / 马丁...,1957年的理想主义。,1957,剧情,96分钟,tt0050083,https://movie.douban.com/subject/1293182/
39,海蒂和爷爷,9.3,782682,阿兰·葛斯彭纳 Alain Gsponer,阿努克·斯特芬 Anuk Steffen /...,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,2019,剧情/家庭/冒险,111分钟,tt3700392,https://movie.douban.com/subject/25958717/
40,素媛,9.3,776752,李濬益 Jun-ik Lee,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,2013,剧情,122分钟,tt3153634,https://movie.douban.com/subject/21937452/
41,猫鼠游戏,9.1,1212233,史蒂文·斯皮尔伯格 Steven Spielberg,莱昂纳多·迪卡普里奥 L...,骗子大师和执著警探的你追我跑故事。,2003,剧情/传记/犯罪,141 分钟,tt0264464,https://movie.douban.com/subject/1305487/
42,天空之城,9.2,1009884,宫崎骏 Hayao Miyazaki,田中真弓 Mayumi Tanaka / 横泽启子 Ke...,对天空的追逐，永不停止。,1992,动画/奇幻/冒险,125分钟,tt0092067,https://movie.douban.com/subject/1291583/
43,鬼子来了,9.3,715848,姜文 Wen Jiang,姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,对敌人的仁慈，就是对自己残忍。,2000,剧情/喜剧,139分钟,tt0245929,https://movie.douban.com/subject/1291858/
44,摔跤吧！爸爸,9.0,1746515,涅提·蒂瓦里 Nitesh Tiwari,阿米尔·汗 Aamir Khan / 法缇玛...,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,2017,剧情/家庭/传记/运动,161分钟(印度),tt5074352,https://movie.douban.com/subject/26387939/
45,少年派的奇幻漂流,9.1,1490630,李安 Ang Lee,苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,瑰丽壮观、无人能及的冒险之旅。,2012,剧情/奇幻/冒险,127分钟,tt0454876,https://movie.douban.com/subject/1929463/
46,钢琴家,9.3,750943,罗曼·波兰斯基 Roman Polanski,艾德里安·布洛迪 Adrien Brod...,,2002,剧情/音乐/传记/战争,149分钟,tt0253474,https://movie.douban.com/subject/1296736/
47,指环王2：双塔奇兵,9.2,858097,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,承前启后的史诗篇章。,2003,剧情/动作/奇幻/冒险,180分钟,tt0167261,https://movie.douban.com/subject/1291572/
48,死亡诗社,9.2,884606,彼得·威尔 Peter Weir,罗宾·威廉姆斯 Robin Williams / 罗伯...,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,1989,剧情,128 分钟,tt0097165,https://movie.douban.com/subject/1291548/
49,大话西游之月光宝盒,9.0,1366662,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,,2014,喜剧/爱情/奇幻/古装,88分钟,tt0112778,https://movie.douban.com/subject/1299398/
50,绿皮书,8.9,1894480,彼得·法雷里 Peter Farrelly,维果·莫腾森 Viggo Mortensen /...,去除成见，需要勇气。,2019,剧情/喜剧/音乐/传记,130分钟,tt6966692,https://movie.douban.com/subject/27060077/
51,何以为家,9.1,1163310,娜丁·拉巴基 Nadine Labaki,扎因·拉费阿 Zain al-Rafeea / ...,凝视卑弱生命，用电影改变命运。,2019,剧情,126分钟,tt8267604,https://movie.douban.com/subject/30170448/
52,闻香识女人,9.1,1024286,马丁·布莱斯 Martin Brest,阿尔·帕西诺 Al Pacino / 克里斯...,,1992,剧情,157 分钟,tt0105323,https://movie.douban.com/subject/1298624/
53,大闹天宫,9.4,510434,万籁鸣 Laiming Wan,邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,,1961,剧情/动画/奇幻/古装,113分钟,tt0059855,https://movie.douban.com/subject/1418019/
54,黑客帝国,9.1,951526,"安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...
                            1999 / 美国 / 动作 科幻",,,2000,动作/科幻,136分钟,tt0133093,https://movie.douban.com/subject/1291843/
55,指环王1：护戒使者,9.1,961231,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,,2002,剧情/动作/奇幻/冒险,179分钟,tt0120737,https://movie.douban.com/subject/1291571/
56,罗马假日,9.1,1049359,威廉·惠勒 William Wyler,奥黛丽·赫本 Audrey Hepburn / 格...,,1953,剧情/喜剧/爱情,118分钟,tt0046250,https://movie.douban.com/subject/1293839/
57,教父2,9.3,640913,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,,1974,剧情/犯罪,202分钟,tt0071562,https://movie.douban.com/subject/1299131/
